,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
0,0-H1,1523.0100211917309,326.67423900560385,365.7,-0.0,,0.0,,,-39.02576099439614,,
1,1-H1,3.99999999989609e-06,52.101999999999975,52.1,11.906276,,0.0,,,0.0019999999999740226,,
2,2-H2,822.5817177690222,0.718496770524248,0.0,15.747221453200478,15.4,7.074175850623014e-16,,40.249452329280295,0.718496770524248,0.34722145320047737,
3,3-C1,1696.853124369799,389.4071228927889,430.6,18.695558,,0.0,,,-41.19287710721113,,
4,4-C1,0.00010000000000095497,170.88999999999996,170.9,9.475558000000003,,0.0,,,-0.010000000000047748,,
5,5-H1C1,0.8018202731600276,143.29544417646218,142.4,9.401525778594177,,1.0069905600305704,,,0.8954441764621777,,
6,6-H2C1,242.88556458065324,107.35724025683895,99.8,9.136696826939954,,1.5432184013589558,,19.27556402708185,7.557240256838952,,
7,7-H2C1,1031.4128275428525,73.92469193713146,99.8,9.91873023308552,,0.516604626280713,,26.902834802098553,-25.87530806286854,,
8,8-H3C1,299.62450183424136,243.86944072216633,261.0,22.968492996913934,,5.95462677409619e-07,,3.5123896887641073,-17.13055927783367,,
9,9-H4C1,129.2204270469449,-11.965544720244244,-17.9,13.871737782282512,13.6,6.52313342477989e-07,,13.16195466847855,5.934455279755754,0.27173778228251244,
10,10-H2C2,68.86331147762218,57.862637277047824,54.3,11.009038343517247,11.4,6.370533256504332e-08,,9.04276787558296,3.562637277047827,-0.3909616564827534,
11,11-H3C2,1007.0793588370848,265.6643760965157,266.0,18.383063188535147,,0.801757445522021,,44.876869664282395,-0.33562390348430426,,
12,12-H3C2,0.4536377168577784,58.985690645922865,59.6,9.419230546453383,,0.19515953903038136,,0.3905425312334375,-0.614309354077136,,
13,13-H4C2,405.436324172231,237.69106434614528,257.0,18.114259358313753,,2.230413666734559e-06,,8.074816169737748,-19.308935653854718,,
14,14-H4C2,45.51774060506317,15.37554977723855,12.5,10.175089020539026,10.51,1.1588203871130842e-07,,7.21559667211737,2.8755497772385503,-0.3349109794609735,
15,15-H4C2,96.36838689055396,88.34156032093348,90.3,8.722369751618995,,1.5864704721291985,,13.60388921698584,-1.9584396790665153,,
16,16-H5C2,1138.5551864784904,219.64389288761845,216.0,19.658080322865473,,1.9709866641951956,,47.44000908731056,3.643892887618449,,
17,17-H5C2,345.459140437476,10.512745266176575,25.0,9.483502668244862,,0.039203895007195996,,16.46685098704587,-14.487254733823425,,
18,18-H6C2,287.0629603806595,-19.7589055313762,-20.0,12.699372112944351,12.0,3.4661385923459752e-06,,21.821672649063082,0.24109446862379968,0.6993721129443511,
19,19-C3,747.5808535415272,220.2971330440094,196.0,11.045236282268108,11.1,2.1616905620954147e-07,,17.71610978207416,24.2971330440094,-0.05476371773189115,
20,20-H3C3,7831.916594876948,272.5211224979566,257.0,19.13429682074374,,4.989798097469596e-06,,123.21535092090087,15.521122497956583,,
21,21-H3C3,423.66178789044534,265.3986683719418,281.0,17.295640370861594,,0.666862573887327,,18.987376823658234,-15.601331628058176,,
22,22-H4C3,23.726043435346604,43.89887458458645,45.6,10.02222876198402,10.07,1.3880875491896553e-06,,6.41934679515334,-1.70112541541355,-0.047771238015981154,
23,23-H4C3,4.606031702921138,68.2556036380076,66.2,9.884281690247626,9.86,0.4783533656821772,0.45,,2.0556036380075966,0.024281690247626386,0.028353365682177167
24,24-H4C3,424.92337759099564,41.361989278435374,44.4,10.716751562064164,10.37,0.1159916326167646,0.78,21.321695949679064,-3.038010721564625,0.34675156206416524,-0.6640083673832354
25,25-H5C3,153.7443586936006,221.35138013654796,226.0,17.312692124322297,,1.0411149612605823,,16.256364418818844,-4.648619863452041,,
26,26-H5C3,535.5523366036425,258.14200372922886,235.0,18.42195721635393,,2.099920462712667,,,23.14200372922886,,
27,27-H5C3,9.473786839205616,240.0779517278875,237.0,17.279522336074933,,1.1161046233309009,,,3.077951727887495,,
28,28-H5C3,331.4642622514741,25.34031446929312,40.0,9.063932971735136,,0.02470934494353241,,15.268129053178548,-14.65968553070688,,
29,29-H6C3,316.28757935818527,11.166137215260129,12.7,11.430190927661393,11.0,1.9409353841084817e-05,,24.30754701287476,-1.5338627847398705,0.43019092766139266,
30,30-H6C3,241.3365448258773,4.944172241709518,4.9,9.964447320040184,9.88,0.04217959862083437,0.37,19.881396954368363,0.044172241709517834,0.08444732004018363,-0.3278204013791656
31,31-H7C3,701.0749947695224,-1.568459680806967,16.8,9.332000252657352,,0.02757131283572807,,26.96941540797988,-18.368459680806968,,
